enog	sc_count	mc_count	%sc	%present	av.count_if_present
ENOG4108R70	1665	0	0.997005988024	0.997005988024	1.0
ENOG4105K4C	1663	0	0.995808383234	0.995808383234	1.0
ENOG4108UHH	1663	0	0.995808383234	0.995808383234	1.0
ENOG4108R5J	1663	2	0.995808383234	0.997005988024	1.0012012012
ENOG4108UJY	1661	2	0.994610778443	0.995808383234	1.00120264582
ENOG4105K46	1661	1	0.994610778443	0.995209580838	1.00060168472
ENOG4108Z04	1660	2	0.994011976048	0.995209580838	1.00120336943
ENOG4106U5A	1660	2	0.994011976048	0.995209580838	1.00120336943
ENOG4108UNN	1659	3	0.993413173653	0.995209580838	1.00180505415
ENOG4108YZX	1658	2	0.992814371257	0.994011976048	1.00120481928
ENOG4108VCV	1658	2	0.992814371257	0.994011976048	1.00120481928
ENOG4105EEE	1658	1	0.992814371257	0.993413173653	1.00060277275
ENOG4105CFD	1657	1	0.992215568862	0.992814371257	1.00060313631
ENOG4108RA9	1657	0	0.992215568862	0.992215568862	1.0
ENOG4105CKE	1657	0	0.992215568862	0.992215568862	1.0
ENOG4108UM5	1657	3	0.992215568862	0.994011976048	1.00180722892
ENOG4105K7S	1656	1	0.991616766467	0.992215568862	1.0006035003
ENOG4105K77	1655	3	0.991017964072	0.992814371257	1.00180940893
ENOG4105C8K	1652	5	0.989221556886	0.992215568862	1.00301750151
ENOG4108YY1	1652	1	0.989221556886	0.989820359281	1.00060496068
ENOG4108UKE	1651	3	0.988622754491	0.990419161677	1.00181378476
ENOG4108Z10	1650	4	0.988023952096	0.990419161677	1.00302297461
ENOG4105CW6	1649	5	0.987425149701	0.990419161677	1.00302297461
ENOG4105CE9	1648	4	0.986826347305	0.989221556886	1.00242130751
ENOG4105DKZ	1648	2	0.986826347305	0.988023952096	1.00121212121
ENOG4108UJD	1647	9	0.98622754491	0.991616766467	1.00603864734
ENOG4108UIK	1646	5	0.985628742515	0.988622754491	1.00363416111
ENOG4105CHV	1646	2	0.985628742515	0.986826347305	1.00121359223
ENOG4105CU7	1646	5	0.985628742515	0.988622754491	1.0030284676
ENOG4105CSS	1645	5	0.98502994012	0.988023952096	1.00424242424
ENOG4105D1X	1644	3	0.984431137725	0.98622754491	1.00182149362
ENOG4105CGJ	1644	5	0.984431137725	0.987425149701	1.00303214069
ENOG4105C64	1643	1	0.983832335329	0.984431137725	1.00060827251
ENOG4105C9R	1642	4	0.983233532934	0.985628742515	1.00243013366
ENOG4108UH4	1642	10	0.983233532934	0.989221556886	1.00605326877
ENOG4108UHY	1640	2	0.982035928144	0.983233532934	1.0012180268
ENOG4105CGG	1638	10	0.980838323353	0.986826347305	1.00606796117
ENOG4105C4S	1637	7	0.980239520958	0.984431137725	1.00486618005
ENOG4105D6X	1636	1	0.979640718563	0.980239520958	1.00061087355
ENOG4105CPM	1634	11	0.978443113772	0.98502994012	1.00668693009
ENOG4105CAE	1634	6	0.978443113772	0.982035928144	1.00365853659
ENOG4105K87	1630	4	0.976047904192	0.978443113772	1.00244798042
ENOG4105C8T	1625	15	0.973053892216	0.982035928144	1.00914634146
ENOG4105C3G	1623	13	0.971856287425	0.979640718563	1.00855745721
ENOG4105CGR	1623	35	0.971856287425	0.992814371257	1.02472858866
ENOG4105C34	1621	21	0.970658682635	0.983233532934	1.01339829476
ENOG4105CB9	1621	7	0.970658682635	0.974850299401	1.0042997543
ENOG4108UUX	1620	23	0.97005988024	0.983832335329	1.01521606817
ENOG4105CIM	1620	25	0.97005988024	0.98502994012	1.01580547112
ENOG4105CA4	1618	27	0.968862275449	0.98502994012	1.01762917933
ENOG4105BZA	1617	29	0.968263473054	0.985628742515	1.01822600243
ENOG4108UZ0	1617	0	0.968263473054	0.968263473054	1.0
ENOG4108ZPD	1612	29	0.965269461078	0.982634730539	1.01767215113
ENOG4105G6W	1612	42	0.965269461078	0.990419161677	1.02720677146
ENOG4108UHA	1611	5	0.964670658683	0.967664670659	1.00309405941
ENOG4105C41	1609	14	0.963473053892	0.971856287425	1.00862600123
ENOG4105CTF	1609	41	0.963473053892	0.988023952096	1.02787878788
ENOG4105D0T	1608	7	0.962874251497	0.967065868263	1.00433436533
ENOG4105C07	1608	29	0.962874251497	0.980239520958	1.01832620648
ENOG4105CKJ	1607	14	0.962275449102	0.970658682635	1.00925354719
ENOG4105CKH	1602	48	0.959281437126	0.988023952096	1.0296969697
ENOG4105CCW	1599	10	0.95748502994	0.963473053892	1.00683654444
ENOG4105C9M	1599	41	0.95748502994	0.982035928144	1.0256097561
ENOG4105EQY	1595	6	0.955089820359	0.958682634731	1.00374765771
ENOG4108ZEF	1591	15	0.952694610778	0.961676646707	1.00933997509
ENOG4105E5V	1591	11	0.952694610778	0.959281437126	1.00936329588
ENOG4105F3K	1590	4	0.952095808383	0.954491017964	1.00250941029
ENOG4108UH2	1584	13	0.948502994012	0.95628742515	1.00876643707
ENOG4105C2N	1581	7	0.946706586826	0.950898203593	1.00440806045
ENOG4105CWT	1580	3	0.946107784431	0.947904191617	1.00189513582
ENOG4105K9U	1575	84	0.943113772455	0.993413173653	1.05786618445
ENOG4105KA4	1573	10	0.941916167665	0.947904191617	1.00631711939
ENOG4105VH8	1573	49	0.941916167665	0.97125748503	1.03144266338
ENOG4105C9G	1571	59	0.940718562874	0.976047904192	1.03987730061
ENOG4105K5M	1570	1	0.940119760479	0.940718562874	1.00063653724
ENOG4105CC8	1568	79	0.938922155689	0.98622754491	1.0540376442
ENOG4105CPY	1565	18	0.937125748503	0.947904191617	1.01200252685
ENOG4105CU0	1565	10	0.937125748503	0.943113772455	1.00698412698
ENOG4105CII	1565	24	0.937125748503	0.951497005988	1.01573316551
ENOG4105DA0	1564	84	0.936526946108	0.986826347305	1.0515776699
ENOG4105C8D	1562	7	0.935329341317	0.939520958084	1.00446144041
ENOG4105CCJ	1559	66	0.933532934132	0.973053892216	1.05169230769
ENOG4108ZBM	1559	10	0.933532934132	0.939520958084	1.0063734863
ENOG4105C77	1558	77	0.932934131737	0.979041916168	1.05321100917
ENOG4105DRH	1556	55	0.931736526946	0.964670658683	1.03538175047
ENOG4105DTN	1552	16	0.929341317365	0.938922155689	1.01084183673
ENOG4105DVQ	1550	28	0.928143712575	0.944910179641	1.02281368821
ENOG4105DMZ	1549	9	0.92754491018	0.932934131737	1.00577663671
ENOG4105C62	1547	3	0.926347305389	0.928143712575	1.00322580645
ENOG4105CP7	1545	76	0.925149700599	0.970658682635	1.05181986428
ENOG4105KAP	1545	0	0.925149700599	0.925149700599	1.0
ENOG4105CM0	1543	45	0.923952095808	0.950898203593	1.02833753149
ENOG4105C22	1541	99	0.922754491018	0.982035928144	1.06341463415
ENOG4105DI7	1538	93	0.920958083832	0.976646706587	1.06683016554
ENOG4105C6A	1535	9	0.919161676647	0.924550898204	1.00582901554
ENOG4105C2M	1531	93	0.916766467066	0.97245508982	1.05911330049
ENOG4108V82	1527	13	0.914371257485	0.922155688623	1.00844155844
ENOG4105C70	1526	100	0.91377245509	0.973652694611	1.06580565806
ENOG4105D27	1520	63	0.910179640719	0.947904191617	1.03979785218
ENOG4105CSA	1517	4	0.908383233533	0.910778443114	1.00262984878
ENOG4105C4F	1517	8	0.908383233533	0.913173652695	1.00655737705
ENOG4105K9Q	1517	3	0.908383233533	0.910179640719	1.00197368421
ENOG4105CPH	1516	109	0.907784431138	0.973053892216	1.07692307692
ENOG4105CI3	1516	6	0.907784431138	0.911377245509	1.00394218134
ENOG4105DKX	1516	90	0.907784431138	0.961676646707	1.05603985056
ENOG4105CDY	1515	104	0.907185628743	0.969461077844	1.06423718345
ENOG4105C91	1511	56	0.904790419162	0.938323353293	1.03573707722
ENOG4105DNJ	1510	6	0.904191616766	0.907784431138	1.00395778364
ENOG4105CB5	1510	15	0.904191616766	0.913173652695	1.00983606557
ENOG4108JA2	1508	6	0.902994011976	0.906586826347	1.00396301189
ENOG4107EEN	1508	88	0.902994011976	0.955688622754	1.06390977444
ENOG4105CI6	1507	142	0.902395209581	0.987425149701	1.09217707702
ENOG4105CAT	1506	5	0.901796407186	0.904790419162	1.00330906684
ENOG4105DJV	1504	114	0.900598802395	0.968862275449	1.08281829419
ENOG4105J80	1503	49	0.9	0.929341317365	1.03221649485
ENOG4106H78	1503	4	0.9	0.902395209581	1.00265428003
ENOG4105C12	1503	23	0.9	0.91377245509	1.01572739187
ENOG4105CFG	1502	147	0.899401197605	0.987425149701	1.10915706489
ENOG4105C31	1499	147	0.897604790419	0.985628742515	1.09052247874
ENOG4108UM6	1499	20	0.897604790419	0.909580838323	1.01316655695
ENOG4105CSM	1498	40	0.897005988024	0.920958083832	1.0266579974
ENOG4105C73	1494	43	0.894610778443	0.920359281437	1.03318152245
ENOG4105C4J	1494	57	0.894610778443	0.92874251497	1.03675048356
ENOG4105KBC	1494	11	0.894610778443	0.90119760479	1.0073089701
ENOG4105DZP	1493	26	0.894011976048	0.909580838323	1.01777485188
ENOG4105KAR	1486	3	0.889820359281	0.891616766467	1.00201477502
ENOG4105CHN	1485	82	0.889221556886	0.938323353293	1.05807275048
ENOG4105CJS	1485	15	0.889221556886	0.898203592814	1.01
ENOG4105CN0	1483	141	0.888023952096	0.97245508982	1.09667487685
ENOG4105CXT	1482	36	0.887425149701	0.908982035928	1.02437417655
ENOG4105D10	1482	28	0.887425149701	0.904191616766	1.01854304636
ENOG4105C8N	1477	171	0.884431137725	0.986826347305	1.1104368932
ENOG4105CSF	1474	71	0.882634730539	0.925149700599	1.04724919094
ENOG4105BZ5	1471	172	0.880838323353	0.983832335329	1.11807668898
ENOG4108Z6B	1470	8	0.880239520958	0.88502994012	1.00541271989
ENOG4105CI4	1470	93	0.880239520958	0.935928143713	1.06589891235
ENOG4108ZT0	1470	4	0.880239520958	0.882634730539	1.00271370421
ENOG4105CCP	1469	0	0.879640718563	0.879640718563	1.0
ENOG4108ZQD	1468	2	0.879041916168	0.880239520958	1.00136054422
ENOG4105C79	1468	56	0.879041916168	0.912574850299	1.04461942257
ENOG4105C6U	1461	38	0.874850299401	0.897604790419	1.02535023349
ENOG4105CZ8	1458	82	0.873053892216	0.922155688623	1.06168831169
ENOG4105DFA	1454	53	0.870658682635	0.902395209581	1.03583278036
ENOG4105DPM	1450	137	0.868263473054	0.950299401198	1.08947700063
ENOG4105C46	1448	101	0.867065868263	0.92754491018	1.07811491285
ENOG4105DVS	1446	14	0.865868263473	0.874251497006	1.01164383562
ENOG4105C68	1444	41	0.864670658683	0.889221556886	1.03232323232
ENOG4105CDU	1442	212	0.863473053892	0.990419161677	1.17654171705
ENOG4105CDG	1440	106	0.862275449102	0.925748502994	1.07050452781
ENOG4105D1H	1438	71	0.861077844311	0.903592814371	1.05036447979
ENOG4105F8V	1438	212	0.861077844311	0.988023952096	1.1296969697
ENOG4108V3E	1437	14	0.860479041916	0.868862275449	1.00964851826
ENOG4105C55	1435	62	0.859281437126	0.896407185629	1.04609218437
ENOG4105VAS	1434	14	0.858682634731	0.867065868263	1.01035911602
ENOG4105CEH	1431	80	0.856886227545	0.904790419162	1.05890138981
ENOG4105DC1	1431	6	0.856886227545	0.860479041916	1.00417536534
ENOG4105C1H	1431	6	0.856886227545	0.860479041916	1.00487125957
ENOG4105CGV	1431	207	0.856886227545	0.980838323353	1.13125763126
ENOG4105CR3	1426	179	0.853892215569	0.961077844311	1.12523364486
ENOG4105C5T	1414	219	0.846706586826	0.977844311377	1.13655848132
ENOG4105CPF	1411	171	0.844910179641	0.947305389222	1.11820480405
ENOG4105C1M	1410	88	0.844311377246	0.897005988024	1.06008010681
ENOG4105DEA	1407	18	0.84251497006	0.853293413174	1.01543859649
ENOG4105CAV	1403	188	0.840119760479	0.952694610778	1.12256442489
ENOG4105C20	1399	254	0.837724550898	0.989820359281	1.15728977616
ENOG4105D49	1397	78	0.836526946108	0.883233532934	1.05627118644
ENOG4105CXB	1397	9	0.836526946108	0.841916167665	1.00782361309
ENOG4105CDK	1394	63	0.834730538922	0.87245508982	1.04873026767
ENOG4105CJF	1391	76	0.832934131737	0.878443113772	1.07907293797
ENOG4105DHW	1387	64	0.830538922156	0.868862275449	1.04548587181
ENOG4105EEI	1387	42	0.830538922156	0.855688622754	1.0321903429
ENOG4105C9A	1384	29	0.82874251497	0.846107784431	1.02193913659
ENOG4105C25	1379	5	0.825748502994	0.82874251497	1.00361271676
ENOG4105C65	1378	194	0.825149700599	0.941317365269	1.16730279898
ENOG4105CBA	1378	15	0.825149700599	0.834131736527	1.01076812635
ENOG4105CP4	1376	154	0.823952095808	0.916167664671	1.10261437908
ENOG4105KK9	1372	2	0.821556886228	0.822754491018	1.00145560408
ENOG4107QJF	1365	22	0.817365269461	0.830538922156	1.01658255227
ENOG4105C1N	1364	71	0.816766467066	0.859281437126	1.05087108014
ENOG4108VZM	1360	0	0.814371257485	0.814371257485	1.0
ENOG4105CU6	1358	149	0.813173652695	0.902395209581	1.10285335103
ENOG4105C3M	1357	248	0.812574850299	0.961077844311	1.19127725857
ENOG4105CDH	1355	35	0.811377245509	0.832335329341	1.02661870504
ENOG4105F03	1351	42	0.808982035928	0.834131736527	1.03445800431
ENOG4105BZQ	1349	10	0.807784431138	0.81377245509	1.00735835173
ENOG4105KNE	1348	26	0.807185628743	0.822754491018	1.01965065502
ENOG4105D86	1347	20	0.806586826347	0.818562874251	1.01682516459
ENOG4108UTT	1346	6	0.805988023952	0.809580838323	1.00443786982
ENOG4105C4E	1346	24	0.805988023952	0.820359281437	1.01751824818
ENOG4105II7	1344	87	0.804790419162	0.856886227545	1.07407407407
ENOG4105C3X	1341	2	0.802994011976	0.804191616766	1.00148920328
ENOG4105K5Y	1338	122	0.80119760479	0.874251497006	1.11575342466
ENOG4105CRK	1337	81	0.800598802395	0.849101796407	1.05853314528
ENOG4105FA0	1337	78	0.800598802395	0.847305389222	1.08056537102
ENOG4105CMY	1334	39	0.79880239521	0.822155688623	1.0298616169
ENOG4105CAJ	1333	2	0.798203592814	0.799401197605	1.00149812734
ENOG4105WHM	1324	5	0.792814371257	0.795808383234	1.00376222724
ENOG4105FE9	1322	255	0.791616766467	0.944311377246	1.16423589093
ENOG4105CH7	1322	21	0.791616766467	0.804191616766	1.0156366344
ENOG4105CEA	1321	11	0.791017964072	0.797604790419	1.00825825826
ENOG4105CJ4	1317	234	0.788622754491	0.92874251497	1.17343649259
ENOG4105DC6	1316	15	0.788023952096	0.797005988024	1.01202103681
ENOG4105C6M	1314	31	0.786826347305	0.805389221557	1.02304832714
ENOG4105CJ9	1313	313	0.78622754491	0.973652694611	1.23739237392
ENOG4108R6K	1312	74	0.785628742515	0.82994011976	1.05627705628
ENOG4105C2R	1312	84	0.785628742515	0.835928143713	1.06661891117
ENOG4109003	1304	11	0.780838323353	0.787425149701	1.00836501901
ENOG4105D1W	1303	21	0.780239520958	0.792814371257	1.01737160121
ENOG4105CQC	1301	51	0.779041916168	0.809580838323	1.03920118343
ENOG4105D1F	1300	111	0.778443113772	0.844910179641	1.08929836995
ENOG4105CCQ	1299	324	0.777844311377	0.971856287425	1.30930375847
ENOG4105CG1	1297	2	0.776646706587	0.777844311377	1.00153964588
ENOG4105K8U	1296	6	0.776047904192	0.779640718563	1.00460829493
ENOG4105F91	1295	83	0.775449101796	0.825149700599	1.06095791001
ENOG4105C2S	1294	27	0.774850299401	0.791017964072	1.02119606359
ENOG4108UGX	1292	15	0.773652694611	0.782634730539	1.01377199694
ENOG4105DWR	1292	161	0.773652694611	0.87005988024	1.12525808672
ENOG4108UKH	1290	31	0.77245508982	0.791017964072	1.0234670704
ENOG4105CHT	1287	16	0.770658682635	0.780239520958	1.01227935533
ENOG4105NHU	1286	10	0.77005988024	0.776047904192	1.00848765432
ENOG4105CZ5	1286	28	0.77005988024	0.786826347305	1.02130898021
ENOG4105ECC	1285	1	0.769461077844	0.77005988024	1.00077760498
ENOG4105F6H	1281	33	0.767065868263	0.786826347305	1.02511415525
ENOG4105DUK	1281	29	0.767065868263	0.784431137725	1.02290076336
ENOG4105C2V	1275	77	0.763473053892	0.809580838323	1.06213017751
